Anbieter,Nettokaltmiete in €/m²,Nebenkosten in €/m²
andere Anbieter,8.2,3.29
andere Anbieter,9.76,2.12
andere Anbieter,12.06,2.09
andere Anbieter,9.06,1.62
andere Anbieter,12.12,3.03
andere Anbieter,8,2.2
andere Anbieter,12.78,3.33
andere Anbieter,11.72,2.53
andere Anbieter,15.31,2.1
andere Anbieter,8.71,2.01
andere Anbieter,21.83,3.5
andere Anbieter,12,2.14
andere Anbieter,12.67,5
andere Anbieter,10.54,2.38
andere Anbieter,11.94,2.05
andere Anbieter,11.84,4.24
andere Anbieter,6.94,2.55
andere Anbieter,9.42,2.56
andere Anbieter,12.33,2
andere Anbieter,18.9,2.1
andere Anbieter,9.29,4.01
andere Anbieter,9.59,1.99
andere Anbieter,11,1.43
andere Anbieter,8.4,1.2
andere Anbieter,9.86,2.11
andere Anbieter,12.78,2.59
andere Anbieter,8.49,2.83
andere Anbieter,15.71,1.36
andere Anbieter,15.9,2.25
andere Anbieter,12.86,2.5
andere Anbieter,7.5,2.36
andere Anbieter,10.82,2.53
andere Anbieter,9.32,2.68
andere Anbieter,7.14,3.73
andere Anbieter,12.04,1.51
andere Anbieter,12.16,2.16
andere Anbieter,11.76,2.55
andere Anbieter,10.1,3.04
andere Anbieter,18.56,3.18
andere Anbieter,14.35,1.85
andere Anbieter,18.33,1.22
andere Anbieter,12,2.45
andere Anbieter,11.57,2.81
andere Anbieter,10,2.68
andere Anbieter,11.59,2.56
andere Anbieter,8,3.2
andere Anbieter,8,4.13
andere Anbieter,9.9,1.82
andere Anbieter,12,1.85
andere Anbieter,7.5,1.92
andere Anbieter,10.25,2.88
andere Anbieter,12.25,4.25
andere Anbieter,13.71,3.29
andere Anbieter,12.09,1.69
andere Anbieter,20,1.85
andere Anbieter,10.39,2.08
andere Anbieter,11.48,3.33
andere Anbieter,13.23,4.73
andere Anbieter,12,1.77
andere Anbieter,12.7,2.38
andere Anbieter,11.84,2.9
andere Anbieter,12.83,2.97
andere Anbieter,8.5,3.64
andere Anbieter,9.5,2.33
andere Anbieter,12,4.44
andere Anbieter,14.17,2.5
andere Anbieter,9.7,2.62
andere Anbieter,8.58,2.67
andere Anbieter,9.05,3.24
andere Anbieter,10,2.45
andere Anbieter,9.25,2.18
andere Anbieter,7.8,2.63
andere Anbieter,13.33,2.6
andere Anbieter,9.94,2.64
andere Anbieter,11.67,3
andere Anbieter,15,2
andere Anbieter,13.5,2.5
andere Anbieter,9.19,2.45
andere Anbieter,7.24,2.11
andere Anbieter,7.71,2.67
andere Anbieter,16,3
andere Anbieter,9.96,2.64
andere Anbieter,11.87,2.66
andere Anbieter,11.9,2.64
andere Anbieter,12.5,2.73
andere Anbieter,8.79,2.49
andere Anbieter,16.85,4.69
andere Anbieter,14.66,2.83
andere Anbieter,12.05,3.5
andere Anbieter,12.94,2.35
andere Anbieter,8.47,1.53
andere Anbieter,9.5,3.62
andere Anbieter,17.27,1.82
andere Anbieter,12,2.9
andere Anbieter,9,2.56
andere Anbieter,9.8,2.76
andere Anbieter,12,2.44
andere Anbieter,11.46,2.16
andere Anbieter,8.5,2.35
andere Anbieter,14.81,0.87
andere Anbieter,9,2
andere Anbieter,12.41,1.97
andere Anbieter,16.92,3.08
andere Anbieter,12.61,2.39
andere Anbieter,11.18,2.61
andere Anbieter,14,2.53
andere Anbieter,10,4.74
andere Anbieter,12.5,1.35
andere Anbieter,10.46,2.35
andere Anbieter,10.46,2.64
andere Anbieter,8.6,1.9
andere Anbieter,14.52,3.23
andere Anbieter,10.77,2.59
andere Anbieter,8.5,1.35
andere Anbieter,15.7,2.91
andere Anbieter,11,2.55
andere Anbieter,12.5,5.29
andere Anbieter,12.1,2.8
andere Anbieter,7.58,2.18
andere Anbieter,13.63,3.04
andere Anbieter,13.3,2.6
andere Anbieter,11.76,2.79
andere Anbieter,14.89,2.67
andere Anbieter,7.43,2.77
andere Anbieter,8.7,2.87
andere Anbieter,8.8,2.13
andere Anbieter,9.56,2.96
andere Anbieter,9.07,2.54
andere Anbieter,10.98,1.73
andere Anbieter,6.22,2.32
andere Anbieter,13.03,2.46
andere Anbieter,8.51,2.03
andere Anbieter,7.71,2.85
andere Anbieter,8,4.15
andere Anbieter,12.98,1.92
andere Anbieter,18.46,3.85
andere Anbieter,10.67,2.67
andere Anbieter,10,1.92
andere Anbieter,6.67,3.64
andere Anbieter,8.77,2.63
andere Anbieter,13.5,2
andere Anbieter,14.23,3.46
andere Anbieter,13.64,2.73
andere Anbieter,9.73,2.44
andere Anbieter,16.42,2.54
andere Anbieter,7.19,2.4
andere Anbieter,10,3
andere Anbieter,9.67,2.97
andere Anbieter,12.19,3.44
andere Anbieter,11,2.61
andere Anbieter,10.82,1.86
andere Anbieter,10.8,3.24
andere Anbieter,11.1,3.22
andere Anbieter,13,1.19
andere Anbieter,8.49,3.15
andere Anbieter,14,1.75
andere Anbieter,9.49,2.39
andere Anbieter,14,3.09
andere Anbieter,8.77,3.15
andere Anbieter,19.95,2.93
andere Anbieter,13.82,2.56
andere Anbieter,10.81,2.47
andere Anbieter,19.39,4.9
andere Anbieter,15.66,3.61
andere Anbieter,10,2
andere Anbieter,13.62,2.67
andere Anbieter,8.95,3.11
andere Anbieter,14.81,2.78
andere Anbieter,15.7,1.74
andere Anbieter,20.56,2.85
andere Anbieter,7.54,2.29
andere Anbieter,12,3
andere Anbieter,15.65,3
andere Anbieter,11.22,2.44
andere Anbieter,9,2.5
andere Anbieter,11.96,2.79
andere Anbieter,8.33,3.13
andere Anbieter,9.98,2.55
andere Anbieter,13,2.38
andere Anbieter,10.75,2
andere Anbieter,15.49,1.1
andere Anbieter,12.94,2.5
andere Anbieter,13,1.69
andere Anbieter,9.2,1.63
andere Anbieter,14.82,2.51
andere Anbieter,18.64,3.56
andere Anbieter,16.81,2.45
andere Anbieter,10.18,1.91
andere Anbieter,8.19,2.9
andere Anbieter,11.4,2.63
andere Anbieter,13.28,1.65
andere Anbieter,10.29,2.24
andere Anbieter,6.67,5
andere Anbieter,12.47,2.22
andere Anbieter,18.7,2.98
andere Anbieter,19,3.24
andere Anbieter,20.21,2.97
andere Anbieter,12.52,3.79
andere Anbieter,9,2.5
andere Anbieter,14.52,2.42
andere Anbieter,12.15,3.47
andere Anbieter,8.42,2.71
andere Anbieter,9.22,3.98
andere Anbieter,14.26,2.99
andere Anbieter,12.24,3.14
andere Anbieter,9.07,2.44
andere Anbieter,15.13,1.62
andere Anbieter,8.5,2.06
andere Anbieter,14.11,2.02
andere Anbieter,8.8,4.29
andere Anbieter,12.5,2.48
andere Anbieter,9.9,2.48
andere Anbieter,10,2.91
andere Anbieter,10.4,1.65
andere Anbieter,14.94,2.41
andere Anbieter,17.82,1.64
andere Anbieter,11.96,3.53
andere Anbieter,10,1.6
andere Anbieter,14,3.52
andere Anbieter,9.97,3.04
andere Anbieter,8.68,2.77
andere Anbieter,12,3.76
andere Anbieter,13.12,7.19
andere Anbieter,15.62,3.12
andere Anbieter,9.4,2.33
andere Anbieter,12,2.5
andere Anbieter,14.84,1.72
andere Anbieter,11.43,2.59
andere Anbieter,9,3.52
andere Anbieter,10.37,5.58
andere Anbieter,12.75,2.83
andere Anbieter,14,1.53
andere Anbieter,13.04,1.3
andere Anbieter,11.57,2.31
andere Anbieter,17.78,4.44
andere Anbieter,11.9,3.28
andere Anbieter,8.73,0.51
andere Anbieter,12.11,2.6
andere Anbieter,10.42,1.24
andere Anbieter,11.65,2.35
andere Anbieter,13,2.84
andere Anbieter,9.7,2.99
andere Anbieter,9.7,2.95
andere Anbieter,17.67,1.86
andere Anbieter,8.38,2.57
andere Anbieter,14.33,4.67
andere Anbieter,16.75,3.05
andere Anbieter,10.86,2.86
andere Anbieter,16.07,4.02
andere Anbieter,10.88,2.28
andere Anbieter,8.92,2.82
andere Anbieter,12.11,0.58
andere Anbieter,13,1.46
andere Anbieter,12.29,1.9
andere Anbieter,16.84,2.63
andere Anbieter,10.88,2.58
andere Anbieter,11.09,4.91
andere Anbieter,8.84,2.18
andere Anbieter,17,2.8
andere Anbieter,16.32,2.63
andere Anbieter,12.66,2.03
andere Anbieter,15,3.15
andere Anbieter,9.49,1.61
andere Anbieter,11.82,3.18
andere Anbieter,9.87,1.98
andere Anbieter,10.29,3.71
andere Anbieter,11,1.13
andere Anbieter,10.15,3.4
andere Anbieter,7.17,5.05
andere Anbieter,11.25,1.25
andere Anbieter,9.4,2.84
andere Anbieter,7.86,1.93
andere Anbieter,11.67,2.44
andere Anbieter,16.36,1.82
andere Anbieter,11.94,2.89
andere Anbieter,12.37,2.47
andere Anbieter,13.41,2.46
andere Anbieter,15,3.01
andere Anbieter,15.22,1.94
andere Anbieter,9.3,1.95
andere Anbieter,12,2.59
andere Anbieter,11.25,2.37
andere Anbieter,10.64,2.57
andere Anbieter,11,1.1
andere Anbieter,10,1.2
andere Anbieter,9.61,3.2
andere Anbieter,11,3.12
andere Anbieter,13.88,2.12
andere Anbieter,7.22,0.89
andere Anbieter,16,1.46
andere Anbieter,12.62,3.83
andere Anbieter,14.41,3.12
andere Anbieter,9.87,2.91
andere Anbieter,10.95,2.62
andere Anbieter,13.43,2.99
andere Anbieter,12.93,1.29
andere Anbieter,13.25,2.74
andere Anbieter,12.75,2.39
andere Anbieter,12.61,4.46
andere Anbieter,8.5,2.44
andere Anbieter,11.76,2.94
andere Anbieter,17.07,2.46
andere Anbieter,10.98,2.44
andere Anbieter,27.27,2.95
andere Anbieter,11.55,2.39
andere Anbieter,10.58,2.69
andere Anbieter,9.83,2.33
andere Anbieter,10.6,3
andere Anbieter,17.37,2.51
andere Anbieter,10.26,3.08
andere Anbieter,9.97,1.43
andere Anbieter,20.33,1.97
andere Anbieter,12.22,6.53
andere Anbieter,19.89,6.56
andere Anbieter,12.5,2.74
andere Anbieter,13.88,2.77
andere Anbieter,8.53,2
andere Anbieter,7.5,2.33
andere Anbieter,13.96,2.22
andere Anbieter,13.12,2
andere Anbieter,11.04,3.68
andere Anbieter,14.85,3.13
andere Anbieter,13,4.49
andere Anbieter,9.86,3.08
andere Anbieter,10.26,2.14
andere Anbieter,15.5,1.38
andere Anbieter,9.29,2.86
andere Anbieter,9.04,2.44
andere Anbieter,13.96,3.54
andere Anbieter,9.55,2.99
andere Anbieter,10.77,2.38
andere Anbieter,8.09,1.27
andere Anbieter,11.03,3.38
andere Anbieter,8.87,2.29
andere Anbieter,19.04,2.87
andere Anbieter,11.96,1.67
andere Anbieter,11.79,2.24
andere Anbieter,10.87,2.17
andere Anbieter,8.52,3.41
andere Anbieter,9.07,4.02
andere Anbieter,12.12,2.74
andere Anbieter,11.96,1.96
andere Anbieter,9.46,2.04
andere Anbieter,12.41,4.26
andere Anbieter,10,2.07
andere Anbieter,10.5,1.32
andere Anbieter,11,2.51
andere Anbieter,13.12,2.81
andere Anbieter,7.51,3.91
andere Anbieter,12.11,2.64
andere Anbieter,15.48,3.06
andere Anbieter,12.15,1.74
andere Anbieter,10.71,3.41
andere Anbieter,10.29,1.71
andere Anbieter,15.96,2.75
andere Anbieter,10.55,2.19
andere Anbieter,18.24,2.65
andere Anbieter,9.09,2.73
andere Anbieter,8.2,2.92
andere Anbieter,19.63,2.59
andere Anbieter,11.1,2.93
andere Anbieter,10,2.05
andere Anbieter,14.18,2.47
andere Anbieter,12.82,2.51
andere Anbieter,17.01,4.3
andere Anbieter,12.93,2.64
andere Anbieter,15,3
andere Anbieter,14.78,1.52
andere Anbieter,13.11,3.56
andere Anbieter,11.18,2.52
andere Anbieter,10.15,3.07
andere Anbieter,13.08,3.85
andere Anbieter,9.09,3
andere Anbieter,10,1
andere Anbieter,14,1.75
andere Anbieter,7.06,3.07
andere Anbieter,14.58,3.7
andere Anbieter,11.44,3.08
andere Anbieter,10.69,2.53
andere Anbieter,16,3
andere Anbieter,8.5,2.97
andere Anbieter,10.71,2.71
andere Anbieter,14,4.25
andere Anbieter,9,2.73
andere Anbieter,9.8,2.31
andere Anbieter,11.5,2.35
andere Anbieter,9.1,2.3
andere Anbieter,8,1.43
andere Anbieter,21.46,3.65
andere Anbieter,15.49,3.52
andere Anbieter,9.82,2.18
andere Anbieter,8.48,2.59
andere Anbieter,14.42,2.4
andere Anbieter,12.88,2.5
andere Anbieter,18.11,3.4
andere Anbieter,11.52,3.03
andere Anbieter,19.99,3.31
andere Anbieter,7.92,3.4
andere Anbieter,14,1.71
andere Anbieter,8.5,3.14
andere Anbieter,14.53,2.94
andere Anbieter,11.02,2.37
andere Anbieter,18.17,4.27
andere Anbieter,10.41,1.79
andere Anbieter,15.71,1.43
andere Anbieter,13,1.93
andere Anbieter,10.78,2.94
andere Anbieter,12.21,2.6
andere Anbieter,10.58,1.03
andere Anbieter,11,0.3
andere Anbieter,13.63,3.41
andere Anbieter,9.5,2.54
andere Anbieter,12.79,2.85
andere Anbieter,14.43,3.09
andere Anbieter,13.03,2.28
andere Anbieter,14.38,1.91
andere Anbieter,22.34,1.06
andere Anbieter,10.48,1.85
andere Anbieter,9.65,0.94
andere Anbieter,6.4,2.14
andere Anbieter,10.21,2.37
andere Anbieter,14.94,1.88
andere Anbieter,13.1,2.83
andere Anbieter,17.2,2.04
andere Anbieter,12.71,1.14
andere Anbieter,7.7,2.84
andere Anbieter,10.67,1.91
andere Anbieter,8.93,1.79
andere Anbieter,11.89,2.47
andere Anbieter,15,2.17
andere Anbieter,9.79,2.93
andere Anbieter,18.12,1.98
andere Anbieter,16.96,2.17
andere Anbieter,6,2.62
andere Anbieter,8.5,1.39
andere Anbieter,13.04,1.7
andere Anbieter,19.88,4.12
andere Anbieter,15.39,2.5
andere Anbieter,9.49,2.5
andere Anbieter,13.27,3.46
andere Anbieter,10.96,1.87
andere Anbieter,10,2.02
andere Anbieter,23.08,3.23
andere Anbieter,9.51,2.25
andere Anbieter,11.59,3.25
andere Anbieter,11.5,2.83
andere Anbieter,11.9,1.37
andere Anbieter,11,1.6
andere Anbieter,12.29,2.29
andere Anbieter,8.68,2.65
andere Anbieter,14.04,2.55
andere Anbieter,11.5,2.69
andere Anbieter,12.53,2.92
andere Anbieter,10,1.42
andere Anbieter,14.51,1.32
andere Anbieter,11.9,4.63
andere Anbieter,9.67,3.28
andere Anbieter,15.58,3.46
andere Anbieter,17.89,2.22
andere Anbieter,8.7,3.04
andere Anbieter,15.24,3.62
andere Anbieter,11.34,1.46
andere Anbieter,9.99,2.5
andere Anbieter,9.9,1.76
andere Anbieter,14,2.67
andere Anbieter,13.02,2.8
andere Anbieter,12.95,1.99
andere Anbieter,15.15,2.42
andere Anbieter,9.44,2
andere Anbieter,10.12,2.12
andere Anbieter,13.08,2.31
andere Anbieter,10.24,2.11
andere Anbieter,12.86,3.1
andere Anbieter,12.26,2.36
andere Anbieter,15.62,4.11
andere Anbieter,15,4.75
andere Anbieter,15.38,2.99
andere Anbieter,10.45,2.84
andere Anbieter,14.06,2.34
andere Anbieter,9.73,2.55
andere Anbieter,12,2.2
andere Anbieter,12.5,2.3
andere Anbieter,9.74,3.25
andere Anbieter,10,2.86
andere Anbieter,12.5,2.5
andere Anbieter,17.14,2.57
andere Anbieter,11.25,2.87
andere Anbieter,14.74,2.56
andere Anbieter,16.4,2.44
andere Anbieter,16.02,4.08
andere Anbieter,18.68,2.45
andere Anbieter,24.29,2.77
andere Anbieter,15,3
andere Anbieter,11.23,3.84
andere Anbieter,9.02,1.8
andere Anbieter,12.7,3
andere Anbieter,19.84,2.24
andere Anbieter,19.51,2.44
andere Anbieter,11.04,2.34
andere Anbieter,8.2,2.52
andere Anbieter,12.05,3.12
andere Anbieter,12.95,2.69
andere Anbieter,10.27,1.51
andere Anbieter,11.85,2.33
andere Anbieter,8.99,2.65
andere Anbieter,14.39,2.4
andere Anbieter,13.18,2.47
andere Anbieter,21,6
andere Anbieter,21.88,2.81
andere Anbieter,15.22,2.72
andere Anbieter,12.59,2.1
andere Anbieter,6.88,3.16
andere Anbieter,16,2.5
andere Anbieter,14.04,3.33
andere Anbieter,11.4,2.63
andere Anbieter,6.92,1.15
andere Anbieter,17.71,3.12
andere Anbieter,12,2.96
andere Anbieter,13.85,1.72
andere Anbieter,14.71,2.29
andere Anbieter,10.82,8.03
andere Anbieter,6.6,2.42
andere Anbieter,9.52,2.53
andere Anbieter,10.45,2.48
andere Anbieter,11.03,2.35
andere Anbieter,7.47,2.2
andere Anbieter,11.89,3.98
andere Anbieter,8.98,2.41
andere Anbieter,19.81,2.83
andere Anbieter,23.01,4.51
andere Anbieter,17.17,2.61
andere Anbieter,14.2,2.59
andere Anbieter,18.33,3.67
andere Anbieter,10.1,2.1
andere Anbieter,9.68,3.77
andere Anbieter,10.87,2.54
andere Anbieter,11.21,2.2
andere Anbieter,7.03,3.14
andere Anbieter,14.25,2.3
andere Anbieter,18.18,6.36
andere Anbieter,10.9,3.02
andere Anbieter,8.66,2.23
andere Anbieter,14.44,2.09
andere Anbieter,16.23,3.25
andere Anbieter,18.16,2.73
andere Anbieter,14.31,2.76
andere Anbieter,11.64,1.92
andere Anbieter,11,2.52
andere Anbieter,9.2,3.52
andere Anbieter,17.52,2.56
andere Anbieter,15.69,3.08
andere Anbieter,8.69,3.03
andere Anbieter,11.98,1.88
andere Anbieter,8.9,1.33
andere Anbieter,8,2.02
andere Anbieter,18.25,5.22
andere Anbieter,20,3
andere Anbieter,20.59,1.76
andere Anbieter,14,2.67
andere Anbieter,8.5,3.48
andere Anbieter,12.58,3.28
andere Anbieter,14,3.75
andere Anbieter,9.82,3.5
andere Anbieter,18.19,2.77
andere Anbieter,9.97,2.98
andere Anbieter,11.96,2.83
andere Anbieter,15.85,1.83
andere Anbieter,12.1,1.92
andere Anbieter,14.71,2.25
andere Anbieter,15.95,3.06
andere Anbieter,15,1.3
andere Anbieter,9.75,3.15
andere Anbieter,24.54,2.98
andere Anbieter,11.2,2.59
andere Anbieter,11.98,4.08
andere Anbieter,8.4,2.9
andere Anbieter,10.08,1.9
andere Anbieter,12.4,1.75
andere Anbieter,11.05,1.58
andere Anbieter,14.5,4.67
andere Anbieter,16.33,6
andere Anbieter,11.25,2.67
andere Anbieter,14.5,3.5
andere Anbieter,13.74,2.57
andere Anbieter,14.7,3
andere Anbieter,14.99,2.09
andere Anbieter,13,2.2
andere Anbieter,11.6,2.6
andere Anbieter,8.73,2.7
andere Anbieter,20.43,3.17
andere Anbieter,12.77,2.55
andere Anbieter,10.87,1.96
andere Anbieter,10,2.15
andere Anbieter,17,5
andere Anbieter,15.31,2.5
andere Anbieter,14.57,2.89
andere Anbieter,17.57,9.46
andere Anbieter,17.77,2.5
andere Anbieter,19.9,4.3
andere Anbieter,13.16,3.29
andere Anbieter,15.19,1.45
andere Anbieter,12.01,2.01
andere Anbieter,12.16,5.52
andere Anbieter,11.27,3
andere Anbieter,13.97,2.82
andere Anbieter,13.54,3.43
andere Anbieter,7.94,3.56
andere Anbieter,10.53,2.63
andere Anbieter,13.13,2.22
andere Anbieter,10,2.5
andere Anbieter,9.18,3.28
andere Anbieter,10,5
andere Anbieter,11.5,2.9
andere Anbieter,6.5,1.83
andere Anbieter,15.98,8.92
andere Anbieter,13.4,2.4
andere Anbieter,12.14,1.76
andere Anbieter,15.9,4.36
andere Anbieter,11.23,3.54
andere Anbieter,12.99,3.08
andere Anbieter,12.78,2.5
andere Anbieter,12.43,3
andere Anbieter,10.95,2.19
andere Anbieter,14.09,3.41
andere Anbieter,12.11,2.87
andere Anbieter,10.36,2.7
andere Anbieter,18.97,5.17
andere Anbieter,9.62,3.74
andere Anbieter,15.26,1.97
andere Anbieter,12.23,4.95
andere Anbieter,13.91,2.35
andere Anbieter,9.09,1.61
andere Anbieter,7.92,2.99
andere Anbieter,14.47,3.95
andere Anbieter,10,2.78
andere Anbieter,15.38,2.69
andere Anbieter,8.82,2.35
andere Anbieter,14.01,1.17
andere Anbieter,15,2.43
andere Anbieter,16.83,4.02
andere Anbieter,20.7,1
andere Anbieter,9,3.29
